daatalekapotunnaa,1
half,2
thelika,2
hall,1
veedu,1
pillo,1
shrungarabhava,1
pedha,1
kuuda,1
pilla,1
postman,1
moosi,1
nachakapothey,1
mudi,1
oosedhani,1
marindhi,1
misala,1
sayantra,1
kaastha,1
abbayi,1
choosukunta,1
mokka,1
paristhithi,1
ilane,1
naavente,1
thala,1
muchata,1
peddha,4
koncha,4
ayyayi,2
vedanemito,2
telusa,1
arda,2
gandha,1
pilusthundi,1
hadavidi,1
elladaati,1
chadivevala,1
gurthundi,1
alupantuu,1
result,1
chevilo,1
thama,1
chesthunanu,2
kante,1
thelisedhi,2
kanti,2
cheyata,1
resume,1
malachagalavu,1
udhyoga,3
thanu,5
i,1
dhaanni,1
chira,1
the,1
thana,8
thi,1
thank,1
tho,7
pattukoboyadu,2
alochida,1
roju,5
malachanaa,1
kodigaduthuunnadante,1
ayyayyo,1
correct,1
paruvadame,1
haddhulelevu,2
edurantuu,1
alochidam,1
vaadu,3
manchike,1
navvindi,5
poyavura,1
alupe,1
andhincha,1
pai,4
chusthundakudaa,1
mudoo,1
apude,1
atlant,1
akali,2
adrushtavanturalivamma,1
leni,3
jaghana,1
vadini,1
sahaya,1
dhochukundhi,1
chereti,1
meedha,2
thaakuthondhi,1
intha,1
postmaster,1
padukunnaventii,1
paduchu,2
premakudaa,1
kalisaanu,1
dhaanikemo,1
nippu,1
prathi,3
thhundi,1
room,3
better,1
emanalo,1
thelusthundi,2
yedathegani,1
nuvvani,1
prakatana,1
paduthu,3
lalana,1
anukunna,2
hindhoola,1
nuvvaalote,1
niliche,1
mallli,1
edalo,1
kuragaayala,1
munigi,1
paiga,3
vintha,2
pampinchsara,2
thelida,2
todigena,1
vasumathi,1
gucchi,1
arusthunadu,3
pettesaru,2
sari,1
rojuroju,1
sare,6
ikkada,3
andaridhi,1
nuvvele,1
wait,4
queen,1
sheshuni,2
anda,1
andariki,1
vihara,1
ekkuve,1
manase,1
ekkuva,2
vantaneyanaa,1
gadichindi,5
suryodaya,1
chika,1
vacharu,4
aapukovalo,1
andi,2
manasa,1
manasu,4
yekada,1
edane,1
cheppina,2
vaara,1
edipincha,1
manasulo,3
daachaleni,1
pakkana,2
gurthochadu,1
arichadu,2
vekkiristhuntadu,2
vallandariki,1
adiga,1
laa,1
alochanalo,1
chesthunadu,2
okkokari,1
alochanalu,1
annayii,1
cheyna,1
maname,1
adigainaa,1
notloki,1
avvu,2
chedda,1
himalayana,1
okkokaru,1
datisthale,1
paiki,2
parvaledule,1
kaatukane,1
naalokamai,1
madhya,1
vachayi,2
chupinchadu,2
debba,1
girlfriend,1
anesariki,1
vallidarini,1
selavu,1
anumana,1
salaha,1
vayyaari,1
kanulane,1
cheppabothundi,1
ventane,2
evarini,2
vaali,1
hrudaya,1
levu,2
evaro,2
anukunte,2
thara,1
evaru,2
busy,1
anukuntu,1
asmaika,1
aashakudaa,1
appudu,9
sheshuki,1
tharu,1
nunchi,1
thelisindhira,1
vaana,2
vaalada,1
vicchinattuga,1
matalani,2
nuvvemo,1
andarini,2
ruchu,1
chudatamenti,2
naalonaa,2
cherave,1
nadusthu,1
appudappudu,1
padi,1
thelusa,2
preu,1
cheya,1
sirimuvva,1
appude,2
thelusu,1
cheyi,1
taarale,2
pada,2
meeting,1
pattukunnaru,2
aagave,1
kona,1
pettukunna,1
evvariki,1
kavvintha,1
sokula,1
vishaya,2
padindhi,6
lantidi,1
aasa,3
karle,1
cheppadu,3
thodugaa,1
two,1
aaru,1
poo,1
adentamma,2
chandamama,1
maata,4
picha,2
cherakudaa,1
yepudu,1
thayaru,3
velupatti,1
yepudo,1
magamaasa,1
badhulega,1
premane,2
anganga,1
maare,1
melliga,2
annaya,1
premani,1
preminche,1
tirugutunnaa,1
puvvulani,1
kadhile,1
lekunda,1
vayasu,1
kosa,5
cheppaka,1
somavara,2
anni,5
kaalu,1
thsukelthundata,2
padhe,1
anna,2
pelli,5
raaledhani,1
agraharala,1
hai,1
veyyi,1
chepda,1
school,1
pralaya,1
annavu,2
vesina,1
antaadu,2
padha,1
aata,1
thisukelindi,2
chilipi,2
cheppala,1
tension,1
cheyakapothey,1
ishtama,2
hrudayane,1
bakra,1
kori,1
lechi,6
maarchagalavu,1
hrudayani,1
maati,1
vesaadu,1
chali,2
teluginti,1
chalo,1
cheppaku,1
enda,1
nindenu,1
peru,5
prana,4
aadada,1
odarchindi,2
kaani,10
chudanivvu,1
kaanuka,1
entha,1
start,2
chusthe,3
chusthanu,1
koti,1
ooha,1
laagindaa,1
chevi,1
nijamegaa,1
entho,1
chusesariki,1
chusthu,2
time,3
gathamantha,1
meeru,1
aaye,1
aachandhra,1
kaliyugame,1
thamalapakalle,1
cabinlo,1
poolathotakudaa,1
prati,1
cheppu,3
endaina,1
vaipu,4
nidura,1
anukuna,1
cheppi,3
anukuni,3
cheppa,1
nindali,1
antunnaru,2
cheppanu,4
cheppe,1
gelichava,1
paatalle,1
maatikadhe,1
thakkuva,1
andhulona,1
chirakaala,1
pudhota,1
dhairya,1
namaka,2
annaru,2
chappudo,1
sooreedu,1
nakaithe,1
esari,1
vadiki,1
padukundi,2
thanalo,1
maaya,1
manuvarala,2
antu,6
choosya,1
cheppalo,1
sheshutho,1
cherindi,2
chese,1
vachinda,2
chesi,7
pani,3
vachindi,8
pane,1
gaali,1
anukunnanu,2
thechukundi,2
kooda,1
vadhilesa,1
oppukunta,1
nadusthunaru,2
thambola,1
manasunne,1
kallalo,3
cheppane,1
chirugaale,1
gamana,2
chesina,1
doma,1
ante,5
